2025-02-01 02:11:29,155 - INFO - Epoch 0, Step 176, Loss: 7.640974, Best Loss: 7.501000
2025-02-01 02:11:37,170 - INFO - Epoch 0, Step 177, Loss: 7.531396, Best Loss: 7.501000
2025-02-01 02:11:45,182 - INFO - Epoch 0, Step 178, Loss: 7.943360, Best Loss: 7.501000
2025-02-01 02:11:53,195 - INFO - Epoch 0, Step 179, Loss: 7.684905, Best Loss: 7.501000
2025-02-01 02:12:01,213 - INFO - Epoch 0, Step 180, Loss: 7.874926, Best Loss: 7.501000
2025-02-01 02:12:09,223 - INFO - Epoch 0, Step 181, Loss: 7.808532, Best Loss: 7.501000
2025-02-01 02:12:17,241 - INFO - Epoch 0, Step 182, Loss: 7.673275, Best Loss: 7.501000
2025-02-01 02:12:25,286 - INFO - Epoch 0, Step 183, Loss: 7.545847, Best Loss: 7.501000
2025-02-01 02:12:33,291 - INFO - Epoch 0, Step 184, Loss: 7.711530, Best Loss: 7.501000
2025-02-01 02:12:41,307 - INFO - Epoch 0, Step 185, Loss: 7.683087, Best Loss: 7.501000
2025-02-01 02:12:49,314 - INFO - Epoch 0, Step 186, Loss: 7.826844, Best Loss: 7.501000
2025-02-01 02:12:57,329 - INFO - Epoch 0, Step 187, Loss: 7.817393, Best Loss: 7.501000
2025-02-01 02:13:05,345 - INFO - Epoch 0, Step 188, Loss: 7.631084, Best Loss: 7.501000
2025-02-01 02:13:13,359 - INFO - Epoch 0, Step 189, Loss: 7.893162, Best Loss: 7.501000
2025-02-01 02:13:21,378 - INFO - Epoch 0, Step 190, Loss: 7.579136, Best Loss: 7.501000
2025-02-01 02:13:29,421 - INFO - Epoch 0, Step 191, Loss: 7.711610, Best Loss: 7.501000
2025-02-01 02:13:37,420 - INFO - Epoch 0, Step 192, Loss: 7.658241, Best Loss: 7.501000
2025-02-01 02:13:45,430 - INFO - Epoch 0, Step 193, Loss: 7.673963, Best Loss: 7.501000
2025-02-01 02:13:53,440 - INFO - Epoch 0, Step 194, Loss: 7.778455, Best Loss: 7.501000
2025-02-01 02:14:01,455 - INFO - Epoch 0, Step 195, Loss: 7.796619, Best Loss: 7.501000
2025-02-01 02:14:09,472 - INFO - Epoch 0, Step 196, Loss: 7.644032, Best Loss: 7.501000
2025-02-01 02:14:17,487 - INFO - Epoch 0, Step 197, Loss: 7.698106, Best Loss: 7.501000
2025-02-01 02:14:25,507 - INFO - Epoch 0, Step 198, Loss: 7.765157, Best Loss: 7.501000
2025-02-01 02:14:33,549 - INFO - Epoch 0, Step 199, Loss: 7.702430, Best Loss: 7.501000
2025-02-01 02:14:41,552 - INFO - Epoch 0, Step 200, Loss: 7.519295, Best Loss: 7.501000
2025-02-01 02:14:49,562 - INFO - Epoch 0, Step 201, Loss: 7.753849, Best Loss: 7.501000
2025-02-01 02:14:57,575 - INFO - Epoch 0, Step 202, Loss: 7.780558, Best Loss: 7.501000
2025-02-01 02:15:05,585 - INFO - Epoch 0, Step 203, Loss: 7.693680, Best Loss: 7.501000
2025-02-01 02:15:13,601 - INFO - Epoch 0, Step 204, Loss: 7.733057, Best Loss: 7.501000
2025-02-01 02:15:21,613 - INFO - Epoch 0, Step 205, Loss: 7.719512, Best Loss: 7.501000
2025-02-01 02:15:29,624 - INFO - Epoch 0, Step 206, Loss: 7.729284, Best Loss: 7.501000
2025-02-01 02:15:37,669 - INFO - Epoch 0, Step 207, Loss: 7.714366, Best Loss: 7.501000
2025-02-01 02:15:45,679 - INFO - Epoch 0, Step 208, Loss: 7.793921, Best Loss: 7.501000
2025-02-01 02:15:53,688 - INFO - Epoch 0, Step 209, Loss: 7.722626, Best Loss: 7.501000
2025-02-01 02:16:01,701 - INFO - Epoch 0, Step 210, Loss: 7.918530, Best Loss: 7.501000
2025-02-01 02:16:09,714 - INFO - Epoch 0, Step 211, Loss: 7.935149, Best Loss: 7.501000
2025-02-01 02:16:17,725 - INFO - Epoch 0, Step 212, Loss: 7.744178, Best Loss: 7.501000
2025-02-01 02:16:25,737 - INFO - Epoch 0, Step 213, Loss: 7.904957, Best Loss: 7.501000
2025-02-01 02:16:33,755 - INFO - Epoch 0, Step 214, Loss: 7.867324, Best Loss: 7.501000
2025-02-01 02:16:41,795 - INFO - Epoch 0, Step 215, Loss: 7.735357, Best Loss: 7.501000
2025-02-01 02:16:49,804 - INFO - Epoch 0, Step 216, Loss: 7.680717, Best Loss: 7.501000
2025-02-01 02:16:57,814 - INFO - Epoch 0, Step 217, Loss: 7.811275, Best Loss: 7.501000
2025-02-01 02:17:05,833 - INFO - Epoch 0, Step 218, Loss: 7.707898, Best Loss: 7.501000
2025-02-01 02:17:13,843 - INFO - Epoch 0, Step 219, Loss: 7.674535, Best Loss: 7.501000
2025-02-01 02:17:21,858 - INFO - Epoch 0, Step 220, Loss: 7.893738, Best Loss: 7.501000
2025-02-01 02:17:29,863 - INFO - Epoch 0, Step 221, Loss: 7.876893, Best Loss: 7.501000
2025-02-01 02:17:37,876 - INFO - Epoch 0, Step 222, Loss: 8.055350, Best Loss: 7.501000
